index,method,seed,energy,energy_diverse,cost,diversity,n_modes,round,k
251,mf_random,1,6.378137,6.38371879696846,18592.0,0.043790588043733626,194,37,200
252,mf_random,1,6.364545,6.369326597452163,19147.0,0.04427338182899927,194,38,200
253,mf_random,1,6.3449707,6.348642669916153,19626.0,0.044248524527733514,194,39,200
254,mf_random,1,6.330131,6.333615938425064,20115.5,0.04447187615218108,194,40,200
255,mf_random,2,4.113062,,507.5,,,0,1
256,mf_random,2,4.113062,,996.0,,,1,1
257,mf_random,2,4.113062,,1432.0,,,2,1
258,mf_random,2,4.113062,,1908.0,,,3,1
259,mf_random,2,4.113062,,2352.5,,,4,1
260,mf_random,2,4.113062,,2843.5,,,5,1
261,mf_random,2,4.113062,,3288.0,,,6,1
262,mf_random,2,4.113062,,3724.0,,,7,1
263,mf_random,2,4.113062,,4213.5,,,8,1
264,mf_random,2,4.113062,,4667.0,,,9,1
265,mf_random,2,4.113062,,5157.0,,,10,1
266,mf_random,2,4.113062,,5669.0,,,11,1
267,mf_random,2,4.113062,,6138.5,,,12,1
268,mf_random,2,4.113062,,6599.5,,,13,1
269,mf_random,2,4.113062,,7072.5,,,14,1
270,mf_random,2,4.113062,,7560.5,,,15,1
271,mf_random,2,4.113062,,8087.0,,,16,1
272,mf_random,2,4.113062,,8595.5,,,17,1
273,mf_random,2,4.113062,,9130.5,,,18,1
274,mf_random,2,4.113062,,9602.0,,,19,1
275,mf_random,2,4.113062,,10091.0,,,20,1
276,mf_random,2,4.113062,,10594.5,,,21,1
277,mf_random,2,4.113062,,11067.5,,,22,1
278,mf_random,2,4.113062,,11606.5,,,23,1
279,mf_random,2,4.113062,,12090.5,,,24,1
280,mf_random,2,4.113062,,12588.5,,,25,1
281,mf_random,2,3.8222501,,13052.5,,,26,1
282,mf_random,2,3.8222501,,13575.0,,,27,1
283,mf_random,2,3.8222501,,14058.5,,,28,1
284,mf_random,2,3.8222501,,14515.5,,,29,1
285,mf_random,2,3.8222501,,14975.0,,,30,1
286,mf_random,2,3.8222501,,15448.0,,,31,1
287,mf_random,2,3.8222501,,15910.0,,,32,1
288,mf_random,2,3.8222501,,16395.5,,,33,1
289,mf_random,2,3.8222501,,16853.0,,,34,1
290,mf_random,2,3.8222501,,17313.5,,,35,1
291,mf_random,2,3.8222501,,17785.0,,,36,1
292,mf_random,2,3.8222501,,18319.0,,,37,1
293,mf_random,2,0.432897,,18793.0,,,38,1
294,mf_random,2,0.432897,,19301.0,,,39,1
295,mf_random,2,0.432897,,19772.5,,,40,1
296,mf_random,2,0.432897,,20262.0,,,41,1
297,mf_random,2,0.432897,,20736.5,,,42,1
298,mf_random,2,6.917365,6.917365312576294,507.5,0.06015460084551549,10,0,10
299,mf_random,2,6.6908684,6.690868091583252,996.0,0.04621325570832325,10,1,10
300,mf_random,2,6.612216,6.612216281890869,1432.0,0.03776347322286869,10,2,10
301,mf_random,2,6.236863,6.2368631839752195,1908.0,0.03848217976800804,10,3,10
302,mf_random,2,6.076677,6.0766771793365475,2352.5,0.04061772595351133,10,4,10
303,mf_random,2,6.054599,6.054599094390869,2843.5,0.03838634437171622,10,5,10
304,mf_random,2,5.8913345,5.891334390640258,3288.0,0.04242536583160237,10,6,10
305,mf_random,2,5.8913345,5.891334390640258,3724.0,0.04242536583160237,10,7,10
306,mf_random,2,5.736583,5.736582946777344,4213.5,0.032017738773875364,10,8,10
307,mf_random,2,5.736583,5.736582946777344,4667.0,0.032017738773875364,10,9,10
308,mf_random,2,5.6999183,5.699918174743653,5157.0,0.030777118580155187,10,10,10
309,mf_random,2,5.6042624,5.604262065887451,5669.0,0.0321277135909957,10,11,10
310,mf_random,2,5.5326233,5.5326231002807615,6138.5,0.03288485661749185,10,12,10
311,mf_random,2,5.4838095,5.483809566497802,6599.5,0.027224479805422024,10,13,10
312,mf_random,2,5.4838095,5.483809566497802,7072.5,0.027224479805422024,10,14,10
313,mf_random,2,5.466939,5.466939163208008,7560.5,0.03281326325166291,10,15,10
