samples,energies
[C][O][C][=C][C][=C][Branch1][=N][C][=C][Ring1][=Branch1][C][=C][Branch1][Ring1][C][#N][C][#N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][P][C];0,0.8688
[N][C][=C][C][=C][C][C][=N][NH1][C][Ring1][=Branch2][=Ring1][Branch1];0,-0.7414
[C][N][Branch1][C][C][C][=C][C][=C][Branch1][#C][C][#C][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2][C][=C][Ring1][S];0,0.5185
[C][=N][C][=N][C][Branch2][Ring1][Branch2][C][=C][C][=C][C][Branch1][=C][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][=C][Ring1][#C][=N][C][=N][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=N][C][=Branch1][Branch1][=N][Ring2][Ring1][P][N][Ring2][Ring1][S][Ring1][=N];0,2.4806
[N][C][C][C][=C][NH1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch2][Ring1][#Branch1];0,-1.2262
[O][=C][C][Branch2][Ring2][#Branch1][N][Branch1][S][C][=C][Branch1][C][F][C][=C][Branch1][C][F][C][=C][Ring1][Branch2][F][C][=C][C][=Branch1][O][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][N][=S][=N][Ring1][O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][#C];0,2.8181
[C][O][C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][C][=O][N][N][C][=C][Branch1][=N][C][C][=C][Ring1][=Branch1][C][C][C][C][Ring1][=Branch1][=O][C][=Branch1][C][=O][C][C][C][Ring1][#C][C][=C][Ring2][Ring1][=Branch2];0,0.9132
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1];0,-1.9808
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2];0,2.9261
[C][C][O][C][=Branch1][C][=O][C][=C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Ring1][N][C][=C][C][=C][C][=C][Ring1][=Branch1];0,0.0257
[C][C][C][=C][C][=C][C][=C][C][=C][Branch2][Ring1][C][C][=C][C][S][C][C][=C][S][C][=Ring1][Branch1][C][=Ring1][Branch2][S][Ring1][O][C][=C][Ring1][P][C][=C][C][=C][Branch1][Branch2][C][C][=C][S][C][=Ring1][Branch1][C][=C][Ring1][O][C][Ring2][Ring1][=C][=C][Ring2][Ring2][C];0,1.1823
[C][C][=C][C][=C][Branch2][Ring1][=N][C][=C][C][Branch1][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][=C][Branch1][Ring1][C][#N][C][=Branch1][C][=O][NH1][Ring1][S][C][=C][Ring2][Ring1][=Branch1];0,0.7791
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch1][N][N][C][Branch1][C][C][=C][C][=C][Ring1][=Branch1][C][C][=C][Ring1][=N];0,-1.4394
