samples,energies
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][C][=C][C][=C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring1][N][N][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1];0,7.1191
[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=O];0,6.945
[O][=C][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1];0,6.0005
[O][=C][C][=C][C][Branch1][=C][C][#C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][C][=C][Ring1][#C][N][=C][C][=C][C][Branch1][=C][C][#C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][N][Ring2][Ring1][S][Ring1][#C];0,7.036
[O][=C][C][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Ring2];0,8.0891
[C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][C][=Branch1][C][=O][O][C][Ring1][#Branch1][=C][Ring1][=N];0,8.2252
[O][=C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1][Ring1][=C];0,8.4302
[O][=C][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][C][=C][Ring1][#Branch2][NH1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring2][Ring1][=Branch1][Ring1][#Branch2];0,8.4423
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1];0,9.1886
[N][#C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1];0,8.5025
[N][#C][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][Branch1][C][=N][C][=N][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][=N][C][Branch1][Ring1][C][=O][=N][C][=Branch1][Branch1][=N][Ring2][Ring1][C][N][Ring1][=Branch2][Ring1][P][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][#C][C][#N];0,9.4712
[C][N][C][=C][C][=C][Ring1][Branch1][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][Ring1][Branch2][C][#N];0,8.1812
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[N][#C][C][=C][C][=C][C][NH1][C][=C][C][Ring1][=Branch2][=Ring1][Branch1];0,8.2316
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O];0,9.8381
[C][O][C][=Branch1][C][=O][C][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][O][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=N][C][Ring1][=N][=C][Ring1][P];0,7.8772
[O][=C][C][C][C][C][=C][Ring1][=Branch1][NH1][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch2][Ring1][=Branch1][O][C][O][Ring1][#Branch1];0,7.6371
[N][#C][C][=C][C][=C][Branch2][Ring1][S][O][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][Ring1][=C][=O][C][=C][Ring2][Ring1][=Branch2];0,8.0379
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O];0,6.693
[C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][N][Branch1][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2][Ring2][Ring1][S];0,6.0835
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][S][Ring1][=N][C][=C][Ring2][Ring1][Branch1];0,6.4753
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch2][Ring1][O][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Branch1][Branch2][C][=C][N][=C][S][Ring1][Branch1][S][Ring1][S][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][#Branch2];0,7.8909
[O][=C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][Ring1][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][O][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1];0,6.7819
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring2][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Ring1];0,6.7696
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][=C][C][Branch1][C][C][=C][C][=C][Ring1][#Branch1][Ring1][S];0,7.9884
